rango_etario,dia_semana,barrio,total_eventos
Adulto,Thursday,Palermo,7
Adulto,Thursday,Caballito,6
Adulto,Thursday,Mataderos,5
Joven,Thursday,Palermo,5
Adulto,Thursday,Almagro,4
Senior,Thursday,Mataderos,4
Senior,Thursday,Flores,4
Senior,Thursday,Villa Soldati,4
Adulto,Thursday,Villa Urquiza,4
Adulto,Thursday,Villa Devoto,4
Senior,Thursday,Recoleta,4
Adulto,Thursday,Chacarita,4
Senior,Thursday,Almagro,3
Adulto,Thursday,Parque Chacabuco,3
Senior,Thursday,Caballito,3
Adulto,Thursday,Flores,3
Joven,Thursday,Caballito,3
Senior,Thursday,Villa Lugano,3
Adulto,Thursday,Villa Soldati,3
Senior,Thursday,Parque Patricios,3
Adulto,Thursday,Retiro,3
Adulto,Thursday,Belgrano,3
Joven,Thursday,Villa Urquiza,3
Senior,Thursday,Saavedra,3
Adulto,Thursday,Velez Sarsfield,3
Adulto,Monday,Parque Chacabuco,3
Joven,Thursday,Villa Luro,3
Adulto,Thursday,Villa Lugano,2
Joven,Thursday,Flores,2
Joven,Thursday,Villa Lugano,2
Senior,Thursday,Palermo,2
Joven,Thursday,Parque Chacabuco,2
Joven,Thursday,Retiro,2
Adulto,Thursday,Balvanera,2
Joven,Thursday,Belgrano,2
Joven,Thursday,Balvanera,2
Adulto,Thursday,Barracas,2
Joven,Thursday,Parque Patricios,2
Joven,Thursday,Barracas,2
Adulto,Thursday,Monte Castro,2
Adulto,Thursday,La Boca,2
Adulto,Thursday,Monserrat,2
Adulto,Monday,Palermo,2
Adulto,Friday,Palermo,2
Adulto,Monday,Villa Devoto,2
Senior,Thursday,San Nicolas,2
Senior,Thursday,Puerto Madero,2
Adulto,Monday,Belgrano,2
Joven,Thursday,Mataderos,1
Senior,Thursday,Parque Chacabuco,1
Senior,Thursday,Barracas,1
Adulto,Thursday,Recoleta,1
Senior,Thursday,Retiro,1
Senior,Thursday,Villa Devoto,1
Senior,Thursday,Belgrano,1
Adulto,Thursday,Parque Patricios,1
Senior,Monday,Parque Chacabuco,1
Adulto,Thursday,Villa Pueyrredon,1
Joven,Thursday,Villa Pueyrredon,1
Joven,Thursday,Monserrat,1
Senior,Thursday,La Boca,1
Adulto,Thursday,Saavedra,1
Senior,Thursday,Monserrat,1
Senior,Thursday,Villa Pueyrredon,1
Senior,Thursday,Monte Castro,1
Joven,Thursday,Velez Sarsfield,1
Adulto,Thursday,Villa Del Parque,1
Joven,Thursday,Colegiales,1
Senior,Thursday,Colegiales,1
Joven,Monday,Villa Soldati,1
Adulto,Monday,Villa Soldati,1
Senior,Monday,Villa Devoto,1
Senior,Monday,Villa Soldati,1
Senior,Thursday,Villa Del Parque,1
Joven,Monday,Palermo,1
Adulto,Thursday,Villa Santa Rita,1
Joven,Thursday,Floresta,1
Joven,Monday,Colegiales,1
Senior,Thursday,Paternal,1
Adulto,Thursday,Paternal,1
Senior,Thursday,Villa Santa Rita,1
Senior,Monday,Villa Crespo,1
Senior,Monday,Colegiales,1
Adulto,Thursday,Floresta,1
Adulto,Monday,Recoleta,1
Adulto,Thursday,Nuñez,1
Joven,Thursday,Nuñez,1
Senior,Monday,Balvanera,1
Joven,Monday,Mataderos,1
Adulto,Monday,Balvanera,1
Joven,Thursday,Villa Riachuelo,1
Adulto,Monday,Mataderos,1
Adulto,Monday,Villa Lugano,1
Senior,Monday,Villa Lugano,1
Adulto,Thursday,Villa Riachuelo,1
Senior,Monday,Liniers,1
Senior,Monday,Parque Patricios,1
Senior,Monday,Parque Chas,1
Senior,Thursday,Villa Crespo,1
Adulto,Monday,Liniers,1
Senior,Thursday,Versalles,1
Adulto,Thursday,Boedo,1
Senior,Thursday,Villa Real,1
Senior,Thursday,Boedo,1
Adulto,Thursday,Villa Crespo,1
Joven,Monday,Caballito,1
Adulto,Monday,Villa Pueyrredon,1
Joven,Thursday,Liniers,1
Senior,Monday,Nuñez,1
Joven,Monday,Floresta,1
Adulto,Thursday,Agronomia,1
Adulto,Monday,Caballito,1
Senior,Thursday,Parque Avellaneda,1
Senior,Monday,Parque Avellaneda,1
Joven,Monday,Flores,1
Adulto,Thursday,Villa Ortuzar,1
Senior,Thursday,Villa Ortuzar,1
Senior,Monday,Saavedra,1
Adulto,Monday,Parque Avellaneda,1
Adulto,Thursday,Villa Gral. Mitre,1
Adulto,Thursday,Liniers,1
Adulto,Friday,Caballito,1
Adulto,Monday,Retiro,1
Joven,Monday,Velez Sarsfield,1
Adulto,Monday,Villa Del Parque,1
Adulto,Monday,Almagro,1
Adulto,Thursday,Coghlan,1
Adulto,Monday,Villa Real,1
Senior,Monday,Villa Riachuelo,1
Senior,Monday,Nueva Pompeya,1
Adulto,Friday,Villa Real,1
Joven,Monday,Versalles,1
Joven,Thursday,Nueva Pompeya,1
Joven,Saturday,Villa Luro,1
Adulto,Monday,Villa Luro,1
