fecha,barrio,comuna,total_eventos,usuarios_unicos
2026-08-06,Palermo,14,12,12
2026-08-06,Mataderos,9,10,10
2026-08-06,Caballito,6,10,10
2026-08-06,Flores,7,9,9
2026-08-06,Villa Lugano,8,7,7
2026-08-06,Villa Soldati,8,7,7
2026-08-06,Almagro,5,7,7
2026-08-06,Parque Chacabuco,7,6,6
2026-08-06,Villa Urquiza,12,6,6
2026-08-06,Retiro,1,5,5
2026-08-06,Recoleta,2,5,5
2026-08-06,Villa Devoto,11,5,5
2026-08-06,Parque Patricios,4,5,5
2026-08-06,Belgrano,13,5,5
2026-08-06,Balvanera,3,4,4
2026-08-06,Velez Sarsfield,10,4,4
2026-08-06,Saavedra,12,4,4
2026-08-06,Barracas,4,4,4
2026-08-06,Monserrat,1,4,4
2026-08-06,Chacarita,15,4,4
2026-08-17,Parque Chacabuco,7,4,4
2026-08-06,La Boca,4,3,3
2026-08-06,Villa Luro,10,3,3
2026-08-06,Monte Castro,10,3,3
2026-08-17,Villa Soldati,8,3,3
2026-08-17,Villa Devoto,11,3,3
2026-08-06,Villa Pueyrredon,12,3,3
2026-08-17,Palermo,14,3,3
2026-08-14,Palermo,14,2,2
2026-08-06,Boedo,5,2,2
2026-08-06,Villa Santa Rita,11,2,2
2026-08-06,Villa Crespo,15,2,2
2026-08-06,Puerto Madero,1,2,2
2026-08-17,Parque Avellaneda,9,2,2
2026-08-17,Liniers,9,2,2
2026-08-17,Villa Lugano,8,2,2
2026-08-06,Colegiales,13,2,2
2026-07-30,Palermo,14,2,2
2026-08-06,Paternal,15,2,2
2026-08-06,Floresta,10,2,2
2026-08-06,Villa Del Parque,11,2,2
2026-08-17,Belgrano,13,2,2
2026-07-30,Caballito,6,2,2
2026-08-17,Colegiales,13,2,2
2026-08-17,Balvanera,3,2,2
2026-08-06,San Nicolas,1,2,2
2026-08-06,Villa Riachuelo,8,2,2
2026-08-17,Mataderos,9,2,2
2026-08-06,Nuñez,13,2,2
2026-08-17,Caballito,6,2,2
2026-08-17,Nueva Pompeya,4,1,1
2026-08-17,Parque Chas,15,1,1
2026-08-17,Villa Real,10,1,1
2026-08-06,Coghlan,12,1,1
2026-08-06,Versalles,10,1,1
2026-07-30,Parque Patricios,4,1,1
2026-07-30,Liniers,9,1,1
2026-08-14,Caballito,6,1,1
2026-08-17,Versalles,10,1,1
2026-08-17,Villa Del Parque,11,1,1
2026-08-17,Flores,7,1,1
2026-07-30,Villa Ortuzar,15,1,1
2026-08-17,Saavedra,12,1,1
2026-08-06,Villa Gral. Mitre,11,1,1
2026-08-17,Recoleta,2,1,1
2026-08-17,Villa Pueyrredon,12,1,1
2026-08-17,Nuñez,13,1,1
2026-08-06,Villa Real,10,1,1
2026-08-06,Nueva Pompeya,4,1,1
2026-08-17,Parque Patricios,4,1,1
2026-08-17,Almagro,5,1,1
2026-08-14,Villa Real,10,1,1
2026-08-15,Villa Luro,10,1,1
2026-08-17,Floresta,10,1,1
2026-08-06,Agronomia,15,1,1
2026-08-06,Villa Ortuzar,15,1,1
2026-07-30,Villa Urquiza,12,1,1
2026-08-17,Villa Crespo,15,1,1
2026-07-30,Barracas,4,1,1
2026-07-30,Retiro,1,1,1
2026-07-30,Belgrano,13,1,1
2026-08-06,Parque Avellaneda,9,1,1
2026-08-17,Retiro,1,1,1
2026-08-06,Liniers,9,1,1
2026-08-17,Velez Sarsfield,10,1,1
2026-08-17,Villa Riachuelo,8,1,1
2026-08-17,Villa Luro,10,1,1
