segmento,hora_del_dia,barrio,total_eventos
Estándar,14,Palermo,7
Básico,14,Villa Lugano,5
Básico,14,Palermo,5
Estándar,14,Flores,5
Básico,14,Mataderos,4
Premium,14,Caballito,4
Premium,14,Mataderos,4
Estándar,14,Mataderos,4
Estándar,14,Caballito,4
Premium,14,Flores,4
Estándar,14,Parque Chacabuco,4
Estándar,14,Almagro,4
Premium,14,Villa Urquiza,4
Básico,14,Villa Devoto,4
Básico,14,Caballito,3
Premium,14,Palermo,3
Premium,14,Almagro,3
Básico,14,Villa Soldati,3
Básico,14,Barracas,3
Premium,14,Recoleta,3
Estándar,14,Balvanera,3
Premium,14,Parque Patricios,3
Estándar,14,Villa Devoto,3
Básico,14,Retiro,3
Premium,14,Balvanera,3
Estándar,14,Monte Castro,3
Básico,14,Monserrat,3
Premium,14,Saavedra,3
Estándar,14,Colegiales,3
Básico,14,Parque Chacabuco,2
Estándar,14,Villa Lugano,2
Premium,14,Villa Soldati,2
Estándar,14,Villa Soldati,2
Premium,14,Parque Chacabuco,2
Estándar,14,Retiro,2
Estándar,14,Recoleta,2
Estándar,14,Parque Patricios,2
Premium,14,Belgrano,2
Estándar,14,Belgrano,2
Básico,14,Villa Urquiza,2
Básico,14,Chacarita,2
Premium,14,La Boca,2
Básico,14,Velez Sarsfield,2
Premium,14,Villa Pueyrredon,2
Estándar,14,Saavedra,2
Estándar,14,Velez Sarsfield,2
Premium,14,Villa Luro,2
Premium,23,Palermo,2
Estándar,14,Villa Del Parque,2
Premium,17,Palermo,2
Estándar,13,Villa Soldati,2
Estándar,14,Villa Crespo,2
Estándar,14,Paternal,2
Estándar,14,Floresta,2
Estándar,14,Versalles,2
Estándar,14,Parque Avellaneda,2
Premium,14,Nueva Pompeya,2
Básico,14,Almagro,1
Básico,14,Flores,1
Premium,14,Barracas,1
Básico,14,Parque Patricios,1
Básico,14,Belgrano,1
Premium,14,Retiro,1
Estándar,13,Parque Chacabuco,1
Estándar,14,Chacarita,1
Premium,14,Chacarita,1
Básico,14,La Boca,1
Premium,14,Velez Sarsfield,1
Premium,14,Monserrat,1
Básico,13,Parque Chacabuco,1
Básico,14,Villa Pueyrredon,1
Premium,14,Villa Devoto,1
Premium,13,Villa Soldati,1
Básico,14,Villa Del Parque,1
Básico,14,Villa Luro,1
Estándar,14,San Nicolas,1
Estándar,17,Caballito,1
Estándar,13,Colegiales,1
Estándar,14,Puerto Madero,1
Básico,14,Puerto Madero,1
Premium,17,Caballito,1
Básico,14,San Nicolas,1
Básico,14,Villa Santa Rita,1
Estándar,14,Villa Santa Rita,1
Premium,14,Villa Riachuelo,1
Estándar,13,Recoleta,1
Básico,14,Villa Riachuelo,1
Básico,13,Belgrano,1
Estándar,17,Barracas,1
Básico,13,Villa Lugano,1
Premium,14,Villa Lugano,1
Premium,13,Belgrano,1
Premium,14,Nuñez,1
Estándar,14,Nuñez,1
Básico,14,Villa Crespo,1
Estándar,14,Parque Chas,1
Premium,14,Boedo,1
Estándar,14,Villa Real,1
Básico,17,Belgrano,1
Premium,14,Liniers,1
Básico,14,Boedo,1
Básico,13,Liniers,1
Estándar,14,Liniers,1
Estándar,14,Villa Pueyrredon,1
Premium,13,Floresta,1
Básico,14,Agronomia,1
Premium,17,Parque Patricios,1
Básico,13,Caballito,1
Estándar,13,Nuñez,1
Estándar,14,Villa Ortuzar,1
Premium,17,Retiro,1
Estándar,17,Villa Ortuzar,1
Básico,14,Villa Gral. Mitre,1
Estándar,17,Villa Urquiza,1
Premium,14,Parque Avellaneda,1
Estándar,14,Coghlan,1
Básico,14,Villa Real,1
Estándar,17,Liniers,1
Premium,23,Caballito,1
Premium,23,Villa Real,1
Premium,13,Villa Luro,1
Básico,13,Villa Riachuelo,1
Básico,16,Villa Luro,1
